"","length_2d","length_3d","moving_time","stopped_time","moving_distance","stopped_distance","max_speed","ave_speed","uphillnorm","downhillnorm","maxe","mine","sport"
"888",7.33613732588,7.34068439492,5945,40,7338.83046536,1.85392956182,1.91445621893,1.23445424144,9.68493320721e-06,9.37141672055e-06,68,46.8,"rn"
"895",18.8973375653,19.1340455753,5300,0,19134.0455753,0,4.81488190433,3.61019727835,3.75079292282e-05,3.72962591987e-05,364,227,"rn"
"897",12.9433820962,12.9561859446,4389,652,12838.0095247,118.176419853,3.6484038957,2.92504204254,1.02198945389e-05,1.04207693938e-05,82.1,39.6,"rn"
"901",3.71224997327,3.71691495885,1980,0,3716.91495885,0,2.91978947862,1.8772297772,1.59472019466e-05,1.59472019466e-05,36,10,"rn"
"902",3.71224997327,3.71691495885,1980,0,3716.91495885,0,2.91978947862,1.8772297772,1.59472019466e-05,1.59472019466e-05,36,10,"rn"
"905",9.17488249718,9.37188338982,3632,0,9371.88338982,0,4.17468770902,2.58036436944,5.20224646089e-05,5.1586491723e-05,99,-15,"rn"
"910",3.81918277032,3.89750481638,1521,141,3890.35089097,7.15392541587,3.14078827586,2.55775863969,2.76158556275e-05,3.56804081384e-05,1098.1,1060.6,"rn"
"913",17.4652881311,17.4990802154,7154,116,17487.7585279,11.3216875256,3.73929969036,2.44447281631,1.20925574439e-05,1.14054803164e-05,163,92,"rn"
"920",1.71844169996,1.72056916209,920,40,1709.80325638,10.7659057096,2.79549142688,1.85848180041,9.65991456121e-06,1.08237596891e-05,344,336,"rn"
"921",6.4412353504,6.81029508459,3399,0,6810.29508459,0,3.74572510411,2.00361726525,8.05125060316e-05,8.71882440943e-05,488,249,"rn"
"924",8.3520147828,8.38043030645,3943,60,8371.96000909,8.47029736596,2.59680445577,2.1232462615,1.60224812192e-05,1.57949912004e-05,702.4,663.6,"rn"
"930",7.86513623091,7.87234397245,1560,0,7872.34397245,0,8.64747942292,5.04637434131,1.39349143845e-05,1.39349143845e-05,115,4,"rn"
"936",2.50403968266,2.69757719286,1294,0,2697.57719286,0,3.23884960682,2.08468098367,8.15402413205e-05,8.16999831979e-05,741.8,678.5,"rn"
"951",8.2320732551,8.5548673262,2809,0,8554.8673262,0,4.39314947294,3.04552058605,5.10345312756e-05,5.18970114528e-05,107.4,19.5,"rn"
"954",6.03249707982,6.20330957385,1877,0,6203.30957385,0,4.43724656094,3.30490653908,4.31711771351e-05,4.20439490719e-05,302.3,267.5,"rn"
"992",5.91704990658,6.05803285505,2003,0,6058.03285505,0,3.78712317266,3.02447970796,3.20260945897e-05,6.39676876105e-05,513,301,"rn"
"994",5.39239808644,5.48920052116,2311,94,5476.75438107,12.4461400943,3.73571709015,2.36986342755,8.21155992013e-05,2.35145844145e-05,429,113,"rn"
"1004",8.17790598091,8.29953304333,2493,0,8275.28923027,24.2438130627,3.9823341534,3.31941004022,2.96616273856e-05,3.01629782216e-05,24.6,1.2,"rn"
"1010",2.04706324812,2.05313565048,626,0,2053.13565048,0,4.632713087,3.27976940971,1.76399044012e-05,1.63697922039e-05,95.8,83.6,"rn"
"1026",7.72923979783,7.74725665444,1800,0,7747.25665444,0,7.19398200188,4.30403147469,2.23049102511e-05,2.23049102511e-05,151,48,"rn"
"1032",4.54929552733,4.56306641847,1653,0,4563.06641847,0,3.41264496096,2.76047575225,2.16934686716e-05,2.0440527427e-05,965.3,928.1,"rn"
"1042",2.74308494976,2.75423237926,911,0,2754.23237926,0,3.87561981189,3.02330667317,2.40605016646e-05,2.07795241649e-05,132,107,"rn"
"1055",6.30851733453,6.4106594709,1894,0,6410.6594709,0,4.49233861548,3.3847198896,3.43503851236e-05,4.10080509067e-05,292,219,"rn"
"1064",3.8137000109,3.8280030203,1796,0,3828.0030203,0,3.55221225672,2.13140479972,2.95828197492e-05,2.5649631518e-05,233.6,189.6,"rn"
"1065",3.48884787246,3.4983583159,1120,0,3498.3583159,0,4.75271896534,3.12353421063,1.31046126605e-05,1.53689704912e-05,18.8,7.8,"rn"
"1083",10.4524979973,10.4824500864,4060,26,10477.0438918,5.40619462694,2.97184613246,2.58055268271,1.65204528186e-05,1.72666859202e-05,928.2,874.2,"rn"
"1131",6.29680283075,7.38023066313,1702,0,7380.23066313,0,8.54053916026,4.33621073039,8.2788045618e-05,0.00020030800295,1511,671,"rn"
"1142",5.57875455608,5.65763987479,1672,0,5657.63987479,0,4.22885719844,3.38375590598,2.70311228938e-05,3.54559423634e-05,688,630,"rn"
"1154",6.67277135599,6.67907719555,2980,20,6674.94313349,4.04518382868,3.82959288738,2.23991380319,1.12546940384e-05,1.12546940384e-05,18,0,"rn"
"1155",10.1590839916,10.1905081978,3029,0,10190.5081978,0,4.14106545438,3.36431436044,2.38249826658e-05,2.63842685248e-05,269.3,187.5,"rn"
"1160",8.17390964307,8.18908036339,2884,0,8189.08036339,0,3.66756596201,2.83948694986,1.29876649774e-05,1.58749002211e-05,496,441.3,"rn"
